sentence1,sentence2,score
رجل على عرين دراجة إلى النهر.,رجل على دراجة يقوم بقفزة عالية جداً,0.24
متزلج ينزل من التل المغطى بالثلج,الكلب البني مستلقٍ في الثلج.,0.08
كلبان يركزان على العشب.,كلبان يجريان في التراب,0.72
رجل يرش سائل من خرطوم طويل على الشاطئ.,رجل يجلس على دراجته مع عجلة واحدة في الهواء.,0.12
شخص يرتدي سترة حمراء يلمس الزلاجات الزرقاء على شخص آخر,سيدة تثبت أحدهم التزلج على الجليد في الثلج.,0.44
فتاة تقفز رأسا على عقب على الترامبولين,فتاة تقفز على رأسها على الترامبولين,0.96
امرأة تقف أمام الأشجار وتبتسم,رجل يمشي بين الأشجار أمام أفق المدينة,0.4
صبي يقوم بالقفز من الخلف إلى حمام السباحة,صبي يرتدي ملابس سباحة حمراء وزرقاء يقفز رأساً أولاً إلى بركة سباحة.,0.48
ثلاثة أولاد صغيرين يغطون أنفسهم بالفقاعات,ثلاثة أطفال يقفون بجانب حمام سباحة مغطون بفقاعات الرغوة,0.84
الولد ينظر إلى الفتاة بينما فتاة أخرى تتجاهلهم,الولد يغوص في المسبح بينما يشاهده الزوجان,0.04
كلب أسود مع طوق أزرق يركض في الثلج.,كلب أسود مع طوق أحمر يلعب في الثلج.,0.64
طائر يجلس على شجرة.,طائر يجلس على شجرة بلا أوراق.,0.76
كلب بني يمضغ كرة برتقالية,الكلب لديه كرة برتقالية في فمه.,0.8
كلب بني يقفز في الهواء للقبض على الكرة,ثلاث شابات يقفزون في الهواء ليمسكوا بالكرة,0.12
طفل يسير من طاولة نزهة إلى أخرى.,الصبي يقفز من طاولة نزهة إلى أخرى في الحديقة.,0.64
كلب في الثلج,كلبان في الثلج,0.6
(دالماتيون) يجري على طول الشاطئ,"""دالماتيان"" تجري على طول الشاطئ.",0.96
كلب يركض في الثلج,كلب يركض في الثلج.,1.0
أربعة كلاب سوداء تجري عبر العشب.,كلب يركض عبر الحقل العشب.,0.4
رجل باللون الأحمر والأسود يضرب كرة قدم برأسه,رجل يرتدي قميص كرة قدم أحمر يترأس الكرة,0.72
كلب بني يسير على العشب.,كلب يطارد كلب آخر بجانب شجرة,0.24
امرأة تضع طفلها على لوح التزلج على الشاطئ,امرأة تحمل طفلا صغيرا على لوح التزلج على الشاطئ,0.92
كلب أسود يعض أذن كلب بني فاتح بطريقة مسلية,كلب أسود يعض كلبًا آخر في غرفة المعيشة,0.8
الكلب يسير على الشاطئ عند خط المياه,كلب بيجل يسير على طول الشاطئ الهادئ,0.88
الكلب الأسود والأبيض يركض عبر العشب.,كلب أسود وأبيض يركض عبر العشب.,1.0
كلبان يجريان في الثلج أحدهما يحمل كرة تنس,الصبي يقوم بعمل حيلة، عبر الهواء، على دراجته.,0.0
كلب أسود يسير على العشب بعصا في فمه.,الكلب الأسود يركض على العشب مع لعبة في فمه.,0.64
رجل يسير باتجاه شرطي يقف في معبر للمشاة في شارع مدينة.,شرطي يقف في معبر للمشاة في مدينة.,0.6
كلب أسود وكلب أبيض يلعبان في الشارع,كلب أسود وكلب أبيض يلعبان في الشارع معًا.,0.92
كلب أسود وأبيض كبير يسبح في الماء.,كلب أسود وأبيض مع عصا في المياه الموحلة.,0.72
ولد صغير مهرج مع غطاء على رأسه.,فتى يرتدي غطاء معدني على رأسه,0.84
اثنان من عمال البناء يجلسان على حزمة يستريحان.,الرجل يرتدي قميصه بالقرب من المصعد,0.0
رجل وامرأة يضحكان,رجل وامرأة يقبلان بعضهما,0.24
كلب أسود، بني وأبيض يجري عبر حقل.,كلب أبيض و بني يجري في الحقل,0.57
الأطفال يلعبون في حمام السباحة بينما يراقبهم رجلين بالغين.,الأطفال يلعبون في بركة بينما البالغون يشاهدون.,0.92
طفلين يرشقان في الماء,كلبان يلعبان معاً على السرير.,0.0
الكلب البني والأبيض يسير في المياه الضحلة.,يبدو أن كلبًا أبيضًا وبنيًا يسير على الماء.,0.92
امرأة تقرأ أثناء التنقل العام.,رجل نام في وسائل النقل العام,0.32
كلب بولدج يركض عبر حديقة ذات عشب بينما يقف الناس في الخلفية,الكلب يركض في جسم كبير من الماء مما يجعله يرش.,0.36
صبي صغير يركب دراجة على طريق من الطوب,شخص يقوم بخدع على دراجة على منحدر محاط بالأشجار,0.44
الشاب يتزلج في حديقة التزلج,فتى يرتدي قميصاً أزرق يطير على لوح التزلج في حديقة للتزلج,0.76
فتاة تقفز الحبل على الرصيف بالقرب من موقف السيارات,فتاة تقفز الحبل على الرصيف مع موقف للسيارات على اليسار.,0.88
شخص في الماء على الشاطئ بينما تغرب الشمس,شخص فوق لوح التزلج على الماء,0.6
كلب يقفز في الهواء ليمسك بالفريسبي,الكلب البني يقفز من أجل الفريسبي الوردي,0.8
يعيد الكلب لعبة اللعب إلى سيده.,ثلاثة كلاب يتسابقون في الثلج معاً,0.2
إثنان من الإناث يقفزان من الأرجوحة,فتاتين تقفزان من الأرجوحة,0.92
امرأة مع فتاة شابة تتظاهر مع تماثيل الدب أمام متجر.,رجل يرتدي سترة يقف أمام حشد كبير,0.12
رجل بلا قميص يلعب كرة القدم على العشب,رجل بلا قميص يمسك كرة القدم,0.88
فتاة ترتدي اللون الأخضر تلتوي شيئاً في يديها,صبي صغير يرتدي سروالًا قصيرًا أخضرًا فقط يتوقف بشكل محرج على خلفية من الطوب.,0.16
رجل يرتدي سترة حمراء يحمل دراجته للصورة,امرأة ترتدي سترة حمراء تقوم بتصوير مشهد طبيعي.,0.08
صبي يقفز إلى حمام سباحة عام غير مزدحم,رجل يقفز على لوح ثلج,0.16
المهرجون يتوقفون أمام الكاميرا,طفل باللون البرتقالي على لوحة في الأمواج,0.12
أربعة أطفال يمسكون أيدي بعضهم يقفزون في بركة سباحة,أربعة كلاب تلعب في الثلج.,0.0
فتى يدفع عربة مع قرودين,طفل يجلس خلف عربة بها قرعتان,0.56
اثنان من لاعبي كرة القدم يتقاتلان من أجل الكرة خلال مباراة حادة.,اثنان من الكلاب البرتقالية والبيضاء الصغيرة في الثلج.,0.0
الكلب الأسود يسير عبر العشب الطويل.,الكلب الأسود يركض عبر العشب.,0.76
كلبان أسودان يلعبان في الثلج,الكلب الأسود يحفر في الثلج.,0.68
الكلب يقفز فوق السلسلة,كلب يقفز فوق السلسلة,1.0
فتاة تحمل حقيبة سوداء تجلس على مقعد خشبي,امرأة شابة تحمل حقيبة سوداء تجلس على مقعد خشبي.,0.92
كلب أسود و كلب أصفر,كلب أسود وكلب بني وأبيض يلعبان في الحقل.,0.44
ثلاثة أطفال في حفرة كرة,العديد من الأطفال يلعبون في حفرة كرة.,0.68
الكلب الأبيض والرمادي الكبير يمر عبر نفق أصفر في مسار عقبات.,كلب أبيض و أسود يخرج من أنبوب أصفر و برتقالي,0.72
سباحة تقوم بضربة الظهر في حمام السباحة,شخص يقوم بضربة الظهر في حمام سباحة,0.96
رجل يقف على ظهر دراجة على طريق صخري بالقرب من بحيرة.,امرأة ترتدي ربطة رأس بيضاء وقمصان أرجوانية وقفازات سوداء,0.0
الكلب البني يركض عبر العشب الأخضر.,كلب بني يجري عبر نهر.,0.48
كلب أبيض صغير وكلب بني كبير يلعبان على العشب.,كلب صغير بني فاتح يمر بجانب كلب بني كبير يقف في العشب,0.68
امرأة تحمل كلباً بينما كلب آخر يقف بالقرب منها في الحقل.,سيدة تحمل كلباً بينما كلب آخر يلعب في الفناء,0.68
كلب أسود يسير عبر الماء,كلبان أسودان يسيران في الثلج,0.48
كلب أسود يركض في الثلج.,كلب أسود يسبح مع كرة في فمه.,0.36
امرأة ترتدي ملابس خضراء تلعب مع كلبها البني.,كلب سمراء يلعق يد فتاة أثناء الاستلقاء,0.32
